sn,condition,idcode,gender,age,class,height,weight,father_origin,religion,sibling-f,sibling-m,father-job,mother-job,mother_edu,father_edu,healtha,healthb,healthc,healthd,healthe,sussex1a,sussex1b,sussex1c,sussex1d,sussex1e,sussex2a,sussex2b,sussex2c,sussex2d,sussex2e,sussex3a,sussex3b,sussex3c,sussex3d,sussex3e,sussex4a,sussex4b,sussex4c,sussex4d,sussex4e,sussex5a,sussex5b,sussex5c,sussex5d,sussex5e,sussex6a,sussex6b,sussex6c,sussex6d,sussex6e,sussex7a,sussex7b,sussex7c,sussex7d,sussex7e,sussex8a,sussex8b,sussex8c,sussex8d,sussex8e,sussex9a,sussex9b,sussex9c,sussex9d,sussex9e,sussex10a,sussex10b,sussex10c,sussex10d,sussex10e,attnchk1,sussex11a,sussex11b,sussex11c,sussex11d,sussex11e,sussex12a,sussex12b,sussex12c,sussex12d,sussex12e,sussex13a,sussex13b,sussex13c,sussex13d,sussex13e,sussex14a,sussex14b,sussex14c,sussex14d,sussex14e,sussex15a,sussex15b,sussex15c,sussex15d,sussex15e,sussex16a,sussex16b,sussex16c,sussex16d,sussex16e,sussex17a,sussex17b,sussex17c,sussex17d,sussex17e,sussex18a,sussex18b,sussex18c,sussex18d,sussex18e,sussex19a,sussex19b,sussex19c,sussex19d,sussex19e,sussex20a,sussex20b,sussex20c,sussex20d,sussex20e,attnchk2,ames1a,ames1b,ames1c,ames1d,ames1e,ames2a,ames2b,ames2c,ames2d,ames2e,ames3a,ames3b,ames3c,ames3d,ames3e,ames4a,ames4b,ames4c,ames4d,ames4e,attnchk3,ames5a,ames5b,ames5c,ames5d,ames5e,ames6a,ames6b,ames6c,ames6d,ames6e,ames7a,ames7b,ames7c,ames7d,ames7e,ames8a,ames8b,ames8c,ames8d,ames8e,symp1a,symp1b,symp1c,symp1d,symp1e,symp2a,symp2b,symp2c,symp2d,symp2e,symp3a,symp3b,symp3c,symp3d,symp3e,iri1a,iri1b,iri1c,iri1d,iri1e,iri2a,iri2b,iri2c,iri2d,iri2e,iri3a,iri3b,iri3c,iri3d,iri3e,iri4a,iri4b,iri4c,iri4d,iri4e,iri5a,iri5b,iri5c,iri5d,iri5e,sds1a,sds1b,sds2a,sds2b,sds3a,sds3b,sds4a,sds4b,sds5a,sds5b,sds6a,sds6b,iosa,iosb,iosc,iosd,iose,swiss1,swiss2,swiss3,swiss4,swiss5,swiss6,swiss7,swiss8,sps1,sps2,sps3,sps4,sps5,sps6,emb1,emb2,emb3,emb4,emb5,emb6,emb7,emb8,emb9,emb10,emb11,emb12,emb13,emb14,emb15,school
1,1,Gp008,1,16,1,167,57,25,0,1,2,Fashion  design,trader,7,7,70,100,100,100,100,60,100,100,100,100,70,100,100,100,100,100,100,100,100,100,90,100,100,100,100,60,100,100,100,100,40,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,70,70,100,100,100,100,70,100,100,100,100,70,100,100,100,100,80,100,100,100,100,70,100,100,100,100,40,100,100,100,100,100,100,100,100,100,40,100,100,100,100,80,100,100,100,100,70,100,100,100,100,30,60,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,30,100,100,100,100,10,100,100,100,100,10,100,100,100,100,50,100,100,100,100,80,100,100,100,100,100,100,100,100,100,90,100,100,100,100,70,100,100,100,100,50,100,100,100,100,100,100,100,100,100,70,100,100,100,100,60,0,100,100,100,1,1,0,0,1,1,1,0,1,0,0,0,2,6,6,6,6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,sch1
2,1,Gp014,1,15,1,150,40,24,0,5,2,No work,trader,7,8,100,100,90,100,100,100,50,60,80,50,50,100,50,50,50,100,50,50,50,50,100,100,50,60,50,100,100,50,50,50,100,100,50,50,50,100,100,50,50,50,100,100,50,60,50,100,90,40,50,50,100,100,50,50,50,70,100,100,50,50,50,50,50,40,50,50,50,100,50,50,50,50,100,60,50,50,50,50,50,50,50,50,50,50,50,50,100,100,50,50,50,100,50,60,50,50,100,100,50,50,50,50,90,50,80,50,30,50,50,40,40,50,100,50,50,40,50,100,50,50,50,50,100,50,50,100,50,50,0,50,50,50,50,0,50,50,50,50,20,100,50,100,50,100,50,50,50,50,50,100,70,50,50,100,100,60,50,50,100,100,50,60,50,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,100,50,50,80,50,50,100,90,50,50,1,1,1,1,1,1,1,0,0,0,0,0,3,4,3,3,3,50,50,100,90,100,90,90,50,60,60,60,50,50,50,100,90,50,100,90,100,100,100,50,50,50,50,50,50,50,sch1
3,1,Gp022,0,16,1,166,52,31,0,1,1,Printer,Nurse,4,4,100,100,NA,100,80,100,100,NA,90,100,100,90,NA,100,90,90,100,NA,100,100,100,80,NA,50,90,100,90,NA,80,80,100,90,NA,100,100,100,100,NA,100,90,100,100,NA,80,100,100,90,NA,80,100,100,90,NA,100,100,70,100,90,NA,70,100,100,100,NA,100,100,80,80,NA,80,100,100,90,NA,80,90,100,70,NA,80,100,100,80,NA,80,100,100,90,NA,80,90,100,100,NA,100,100,100,80,NA,90,80,100,100,NA,60,100,30,100,80,NA,100,100,100,80,NA,90,100,100,100,NA,90,100,100,100,NA,100,100,50,10,90,NA,80,100,50,80,NA,100,100,70,80,NA,90,100,80,100,NA,100,100,100,90,NA,100,100,100,90,NA,90,100,100,100,NA,90,100,70,100,NA,100,100,100,100,NA,100,100,60,90,NA,90,100,100,90,NA,90,100,100,100,NA,100,100,1,1,1,1,1,1,0,0,0,1,0,1,6,4,NA,4,6,100,100,100,80,100,100,90,90,100,100,100,80,100,100,100,100,100,100,80,90,100,90,100,90,100,100,100,100,90,sch1
4,1,Gp033,0,14,1,160,54,31,0,1,4,Dispatch rider,Salary own,1,1,50,50,50,80,NA,100,80,100,100,NA,100,100,100,100,NA,100,80,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,50,100,100,100,NA,100,100,100,100,NA,90,100,100,100,NA,70,100,100,100,100,NA,100,100,50,100,NA,100,100,100,100,NA,90,100,100,100,NA,90,50,100,100,NA,80,100,100,100,NA,100,100,100,100,NA,80,100,100,100,NA,100,100,100,100,NA,80,100,100,100,NA,30,100,100,100,60,NA,100,80,100,100,NA,100,100,100,100,NA,50,90,100,100,NA,50,90,0,0,0,NA,100,50,100,50,NA,100,80,50,50,NA,100,80,100,70,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,50,100,100,100,NA,100,100,100,100,NA,50,50,100,100,NA,90,100,100,100,NA,50,100,100,100,NA,1,1,1,0,0,1,1,0,0,0,0,0,6,6,6,6,NA,100,100,100,100,100,100,100,100,80,50,50,90,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,sch1
5,1,Gp040,0,15,1,167,47,24,1,3,4,Driver,hero  seller,1,1,100,60,20,60,80,100,100,80,90,100,100,100,90,90,100,100,100,90,50,50,100,100,90,80,70,100,100,70,70,100,100,100,80,90,100,100,100,100,70,60,100,100,80,90,70,100,100,80,80,70,100,100,90,90,60,100,100,100,100,90,60,100,100,90,70,100,100,100,70,70,100,100,100,80,90,70,100,100,80,100,60,100,100,70,70,70,100,100,100,70,60,100,100,80,100,50,100,100,90,80,100,100,100,70,90,100,100,100,100,90,80,80,100,100,70,70,100,100,100,70,70,80,100,100,90,70,70,100,100,100,100,100,100,100,100,100,90,90,100,100,60,90,80,100,100,100,70,80,100,100,100,90,80,100,100,80,70,90,100,100,90,100,80,100,100,60,70,70,100,100,70,70,70,100,100,100,70,80,100,100,100,100,100,100,100,70,70,100,0,1,1,0,1,1,1,0,1,0,0,0,6,6,6,6,6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,sch1
6,1,Gp051,1,15,1,165,56,28,1,1,2,Rewire,Trader,7,7,50,100,100,80,100,50,100,90,90,100,80,90,100,100,90,80,80,90,90,90,50,100,90,90,90,50,80,100,90,100,100,60,100,90,100,100,90,100,90,90,100,90,90,90,100,50,80,100,90,90,70,100,100,90,100,70,100,90,100,90,100,90,100,90,90,100,100,90,100,100,90,100,90,100,90,90,100,100,90,90,90,100,80,100,90,90,100,90,90,90,90,90,90,100,90,100,100,100,100,90,100,100,100,100,90,100,30,90,80,100,100,100,90,100,90,90,80,90,100,90,90,100,90,90,100,100,80,50,0,70,90,80,90,80,70,90,100,90,30,80,80,100,100,50,80,100,90,100,100,80,100,80,90,100,90,100,90,90,100,80,100,90,100,90,90,90,90,90,100,80,100,100,70,80,60,60,100,90,100,90,90,100,80,100,70,100,100,90,1,1,0,1,1,1,0,0,0,0,0,1,6,6,6,6,5,80,80,80,70,90,80,90,80,90,90,90,80,90,80,90,90,90,90,90,90,80,90,80,90,90,80,80,80,80,sch1
7,1,Gp056,1,15,1,150,48,3,1,1,2,Treder,Terder,1,1,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,30,100,100,100,100,30,100,100,100,100,50,100,100,100,100,50,100,100,100,100,50,100,100,100,100,60,100,100,100,100,100,100,100,100,100,70,50,100,100,100,100,40,100,100,100,100,30,100,100,100,100,20,100,100,100,100,60,100,100,100,80,50,100,100,90,100,50,100,100,100,100,10,100,100,100,100,100,100,100,100,100,40,100,100,100,100,30,50,100,100,100,100,50,100,100,100,100,50,100,100,100,100,30,100,100,100,100,50,50,40,20,20,20,30,40,30,30,40,50,50,20,30,20,50,100,30,30,70,60,100,100,100,100,100,100,100,100,100,50,100,100,100,100,40,50,10,100,100,40,100,100,100,100,50,40,40,100,50,100,100,100,100,100,50,100,100,100,100,1,1,0,0,1,1,0,0,0,0,0,0,3,6,6,6,6,100,70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,sch1
8,1,Gp062,0,15,1,162,46,25,1,1,3,Union,trader,7,7,100,70,70,100,100,60,60,50,70,60,80,70,60,60,90,40,50,50,50,60,40,60,50,40,60,30,50,50,50,60,60,60,30,60,40,50,90,50,50,40,100,70,70,50,70,70,100,80,90,60,100,100,80,70,50,70,100,70,50,50,60,50,50,30,60,40,70,50,50,50,100,90,40,80,80,50,20,50,50,50,40,40,60,50,50,50,20,60,50,70,60,90,60,60,60,100,100,100,80,60,40,40,60,70,50,60,30,50,50,50,50,70,30,80,40,60,40,100,70,50,50,30,100,70,30,50,80,50,30,40,50,30,60,10,100,50,50,50,100,100,40,50,60,20,50,50,60,30,90,100,60,60,50,100,70,60,40,40,100,100,40,80,70,100,70,60,50,50,100,40,40,50,60,100,50,70,70,60,100,70,50,50,40,100,30,40,50,60,1,1,0,0,1,1,0,0,0,1,0,0,6,5,4,6,6,40,100,40,60,60,60,100,90,70,50,60,50,100,50,60,50,40,100,70,100,70,50,40,50,70,60,80,50,100,sch1
9,1,Gp066,1,15,1,152,45,24,0,4,5,Welder,Trader,7,7,100,100,100,100,100,100,80,100,100,100,100,100,100,100,100,100,70,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,70,100,50,100,100,100,100,90,100,70,100,100,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,80,100,60,100,100,80,100,100,100,100,100,60,90,100,100,80,100,70,100,30,100,100,100,100,100,100,80,50,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,30,50,100,100,100,100,100,100,100,100,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,100,100,100,100,100,100,100,100,100,40,90,100,100,100,100,100,100,100,100,50,100,100,100,100,100,50,100,100,1,1,0,0,1,1,0,0,0,0,0,0,6,6,6,6,6,80,80,80,80,90,90,90,100,100,100,90,90,80,60,100,100,100,100,100,100,100,100,90,90,100,90,100,80,100,sch1
10,1,Gp069,1,16,1,158,58,25,1,1,1,I don't know,Provision,7,7,100,100,100,100,100,100,100,90,100,100,100,100,100,100,90,100,100,100,100,100,100,100,70,100,100,50,100,100,90,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,50,100,90,100,100,100,100,100,100,100,70,50,100,100,100,100,100,100,100,100,100,100,90,100,100,100,50,80,100,90,100,100,100,100,100,50,100,90,90,100,30,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,50,100,50,80,70,90,100,50,50,70,90,100,50,100,100,90,100,50,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,60,100,100,100,100,100,100,100,100,100,90,100,100,100,100,1,1,0,0,1,1,1,0,1,0,0,0,6,3,5,5,5,100,100,70,80,100,100,100,100,100,100,100,60,60,50,100,100,90,100,100,100,100,100,80,100,100,100,100,100,100,sch1
